122,SP-2457,Solar Panel 2457,,,2011-03-04 00:00:00,3.78,,,,,,,,135,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
123,SP-2458,Solar Panel 2458,,,2011-01-21 00:00:00,2.34,,,,,,,,135,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
124,SP-2459,Solar Panel 2459,,,2011-01-28 00:00:00,3.24,,,,,,,,135,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
125,SP-2460,Solar Panel 2460,,,2011-01-27 00:00:00,2.88,,,,,,,,210,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
126,SP-2461,Solar Panel 2461,,,2011-02-09 00:00:00,1.8,,,,,,,,135,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
127,SP-2462,Solar Panel 2462,,,2011-02-09 00:00:00,1.8,,,,,,,,145,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
128,SP-2463,Solar Panel 2463,,,2011-02-09 00:00:00,1.62,,,,,,,,210,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
129,SP-2464,Solar Panel 2464,,,2011-02-09 00:00:00,1.44,,,,,,,,135,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
130,SP-2465,Solar Panel 2465,,,2011-05-04 00:00:00,2.16,,,,,,,,217,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
131,SP-2466,Solar Panel 2466,,,2011-02-03 00:00:00,2.52,,,,,,,,217,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
132,SP-2467,Solar Panel 2467,,,2011-02-04 00:00:00,3.6,,,,,,,,217,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
133,SP-2468,Solar Panel 2468,,,2011-02-07 00:00:00,3.6,,,,,,,,145,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
134,SP-2469,Solar Panel 2469,,,2011-02-04 00:00:00,1.8,,,,,,,,217,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
135,SP-2470,Solar Panel 2470,,,2011-02-03 00:00:00,2.7,,,,,,,,217,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
136,SP-2471,Solar Panel 2471,,,2011-02-14 00:00:00,3.33,,,,,,,,180,45,OPERATIONAL,0101000020E61000005C8FC2F5285CF7BF7B14AE47E1BA4A40,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
137,SP-2472,Solar Panel 2472,,,2011-04-27 00:00:00,2.88,,,,,,,,217,45,OPERATIONAL,0101000020E6100000CDCCCCCCCCCCF4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
138,SP-2473,Solar Panel 2473,,,2011-03-07 00:00:00,1.62,,,,,,,,217,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
139,SP-2474,Solar Panel 2474,,,2011-02-07 00:00:00,1.8,,,,,,,,145,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
140,SP-2475,Solar Panel 2475,,,2011-02-07 00:00:00,3.78,,,,,,,,145,45,OPERATIONAL,0101000020E6100000A4703D0AD7A3F4BF48E17A14AE874940,,2025-03-18 18:02:13.786226,2025-03-18 18:02:13.786226
